Models,Prices,Ratings
"APPLE iPhone 11 (Black, 128 GB)","APPLE iPhone 11 (White, 128 GB)","APPLE iPhone 11 (Purple, 128 GB)","APPLE iPhone 12 (Black, 256 GB)","APPLE iPhone 11 (White, 64 GB)","APPLE iPhone 12 (Purple, 128 GB)","APPLE iPhone 12 (Purple, 256 GB)","APPLE iPhone 11 (Purple, 64 GB)","APPLE iPhone 11 (Black, 64 GB)","APPLE iPhone 11 (Red, 128 GB)","APPLE iPhone 11 (Red, 64 GB)","APPLE iPhone 12 (Green, 128 GB)","APPLE iPhone 12 (Purple, 64 GB)","APPLE iPhone 12 (White, 128 GB)","APPLE iPhone 13 Mini (Midnight, 128 GB)","APPLE iPhone 12 (Black, 128 GB)","APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","APPLE iPhone 12 (Blue, 64 GB)","APPLE iPhone 12 Mini (Blue, 128 GB)","APPLE iPhone 13 (Starlight, 128 GB)","APPLE iPhone 13 (Pink, 128 GB)","APPLE iPhone 13 (Midnight, 128 GB)","APPLE iPhone 12 (Black, 64 GB)","APPLE iPhone 11 (Yellow, 64 GB)"
"₹46,999","₹46,999","₹46,999","₹62,999","₹41,999","₹58,999","₹62,999","₹41,999","₹41,999","₹46,999","₹41,999","₹58,999","₹53,999","₹58,999","₹64,999","₹58,999","₹64,999","₹53,999","₹59,999","₹73,999","₹73,999","₹73,999","₹53,999","₹41,999"
4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.6,4.5,4.6,4.5,4.6,4.6,4.6,4.6,4.6
